Name,Organization_Type,Website_Context,Outreach_Method,Priority
"House Church Network leaders","House Church Networks","housechurch.org, simplechurch.eu, organicchurch.org","Email introduction to network coordinators","High"
"Five-Fold Ministry teachers","Apostolic Networks","apostolic-networks.com, fivefoldministry.org","Direct email through ministry contact forms","High"
"Home Fellowship coordinators","Home Groups","local church websites, meetup groups","Facebook/Telegram group outreach","Medium"
"Kingdom restoration bloggers","Content Creators","kingdom blogs, restoration movement sites","Comment engagement + email","Medium"
"Simple Church International","Church Networks","simplechurch.com","Partnership inquiry","High"
"House2House Ministries","Network Organization","h2hnetwork.com","Email to coordinators","High"
"Radical Truth Ministries","Teaching Ministry","radicaltruth.net","Direct outreach","Medium"
"Kingdom Culture Ministries","Training Organization","various","Email to leadership","Medium"
"Organic Church Movement","Network","organicchurch.org","Network introduction","High"
"NT Church Restoration","Blog/Teaching","ntchurchrestoration.com","Direct email","Medium"
